agent 0 and agent 1   p_force[a][ 2.99886078e+00 -1.11081685e-04],p_force[b][0.03068412 2.88646764] f_a[ 1.17790201e-154 -4.06558703e-155],f_b[-1.17790201e-154  4.06558703e-155]
agent 0 and agent 2   p_force[a][ 2.99886078e+00 -1.11081685e-04],p_force[b][2.99881268e+00 6.90339526e-04] f_a[-0. -0.],f_b[0. 0.]
agent 0 and agent 3   p_force[a][ 2.99886078e+00 -1.11081685e-04],p_force[b][3.99139166 0.00441306] f_a[-0. -0.],f_b[0. 0.]
agent 0 and landmark 0   p_force[a][ 2.99886078e+00 -1.11081685e-04],p_force[b][3.99139166 0.00441306] f_a[-0.  0.],f_bNone
agent 0 and landmark 1   p_force[a][ 2.99886078e+00 -1.11081685e-04],p_force[b][3.99139166 0.00441306] f_a[-7.33491717e-48  1.68826887e-48],f_bNone
agent 1 and agent 2   p_force[a][0.03068412 2.88646764],p_force[b][2.99881268e+00 6.90339526e-04] f_a[-0. -0.],f_b[0. 0.]
agent 1 and agent 3   p_force[a][0.03068412 2.88646764],p_force[b][3.99139166 0.00441306] f_a[-0. -0.],f_b[0. 0.]
agent 1 and landmark 0   p_force[a][0.03068412 2.88646764],p_force[b][3.99139166 0.00441306] f_a[-0.  0.],f_bNone
agent 1 and landmark 1   p_force[a][0.03068412 2.88646764],p_force[b][3.99139166 0.00441306] f_a[-6.55103792e-265  1.92997743e-265],f_bNone
agent 2 and agent 3   p_force[a][2.99881268e+00 6.90339526e-04],p_force[b][3.99139166 0.00441306] f_a[-2.80165074e-274  1.01624756e-274],f_b[ 2.80165074e-274 -1.01624756e-274]
agent 2 and landmark 0   p_force[a][2.99881268e+00 6.90339526e-04],p_force[b][3.99139166 0.00441306] f_a[-0.  0.],f_bNone
agent 2 and landmark 1   p_force[a][2.99881268e+00 6.90339526e-04],p_force[b][3.99139166 0.00441306] f_a[0. 0.],f_bNone
agent 3 and landmark 0   p_force[a][3.99139166 0.00441306],p_force[b][3.99139166 0.00441306] f_a[0. 0.],f_bNone
agent 3 and landmark 1   p_force[a][3.99139166 0.00441306],p_force[b][3.99139166 0.00441306] f_a[0. 0.],f_bNone
landmark 0 and landmark 1   p_force[a][3.99139166 0.00441306],p_force[b][3.99139166 0.00441306] f_aNone,f_bNone
agent 0 and agent 1   p_force[a][ 2.99854302e+00 -3.01192689e-04],p_force[b][2.22204155 0.7688047 ] f_a[ 8.43441612e-182 -4.11398384e-182],f_b[-8.43441612e-182  4.11398384e-182]
agent 0 and agent 2   p_force[a][ 2.99854302e+00 -3.01192689e-04],p_force[b][2.99988109e+00 8.50221950e-05] f_a[-0. -0.],f_b[0. 0.]
agent 0 and agent 3   p_force[a][ 2.99854302e+00 -3.01192689e-04],p_force[b][3.99612641e+00 1.94428279e-03] f_a[-0. -0.],f_b[0. 0.]
agent 0 and landmark 0   p_force[a][ 2.99854302e+00 -3.01192689e-04],p_force[b][3.99612641e+00 1.94428279e-03] f_a[-0.  0.],f_bNone
agent 0 and landmark 1   p_force[a][ 2.99854302e+00 -3.01192689e-04],p_force[b][3.99612641e+00 1.94428279e-03] f_a[-1.52954533e-34  4.13281515e-35],f_bNone
agent 1 and agent 2   p_force[a][2.22204155 0.7688047 ],p_force[b][2.99988109e+00 8.50221950e-05] f_a[-0. -0.],f_b[0. 0.]
agent 1 and agent 3   p_force[a][2.22204155 0.7688047 ],p_force[b][3.99612641e+00 1.94428279e-03] f_a[-0. -0.],f_b[0. 0.]
agent 1 and landmark 0   p_force[a][2.22204155 0.7688047 ],p_force[b][3.99612641e+00 1.94428279e-03] f_a[-0.  0.],f_bNone
agent 1 and landmark 1   p_force[a][2.22204155 0.7688047 ],p_force[b][3.99612641e+00 1.94428279e-03] f_a[-1.45804496e-277  5.84114106e-278],f_bNone
agent 2 and agent 3   p_force[a][2.99988109e+00 8.50221950e-05],p_force[b][3.99612641e+00 1.94428279e-03] f_a[-6.00022627e-259  2.29888077e-259],f_b[ 6.00022627e-259 -2.29888077e-259]
agent 2 and landmark 0   p_force[a][2.99988109e+00 8.50221950e-05],p_force[b][3.99612641e+00 1.94428279e-03] f_a[-0.  0.],f_bNone
agent 2 and landmark 1   p_force[a][2.99988109e+00 8.50221950e-05],p_force[b][3.99612641e+00 1.94428279e-03] f_a[0. 0.],f_bNone
agent 3 and landmark 0   p_force[a][3.99612641e+00 1.94428279e-03],p_force[b][3.99612641e+00 1.94428279e-03] f_a[0. 0.],f_bNone
agent 3 and landmark 1   p_force[a][3.99612641e+00 1.94428279e-03],p_force[b][3.99612641e+00 1.94428279e-03] f_a[0. 0.],f_bNone
landmark 0 and landmark 1   p_force[a][3.99612641e+00 1.94428279e-03],p_force[b][3.99612641e+00 1.94428279e-03] f_aNone,f_bNone
agent 0 and agent 1   p_force[a][ 2.99886882e+00 -7.12043679e-04],p_force[b][2.98826426 0.00439336] f_a[ 1.07604638e-208 -6.33804198e-209],f_b[-1.07604638e-208  6.33804198e-209]
agent 0 and agent 2   p_force[a][ 2.99886882e+00 -7.12043679e-04],p_force[b][2.99990845e+00 8.47362389e-06] f_a[-0. -0.],f_b[0. 0.]
agent 0 and agent 3   p_force[a][ 2.99886882e+00 -7.12043679e-04],p_force[b][3.99651074e+00 1.10170583e-03] f_a[-0. -0.],f_b[0. 0.]
agent 0 and landmark 0   p_force[a][ 2.99886882e+00 -7.12043679e-04],p_force[b][3.99651074e+00 1.10170583e-03] f_a[-0.  0.],f_bNone
agent 0 and landmark 1   p_force[a][ 2.99886882e+00 -7.12043679e-04],p_force[b][3.99651074e+00 1.10170583e-03] f_a[-2.52308193e-12  8.53024830e-13],f_bNone
agent 1 and agent 2   p_force[a][2.98826426 0.00439336],p_force[b][2.99990845e+00 8.47362389e-06] f_a[-0. -0.],f_b[0. 0.]
agent 1 and agent 3   p_force[a][2.98826426 0.00439336],p_force[b][3.99651074e+00 1.10170583e-03] f_a[-0. -0.],f_b[0. 0.]
agent 1 and landmark 0   p_force[a][2.98826426 0.00439336],p_force[b][3.99651074e+00 1.10170583e-03] f_a[-0.  0.],f_bNone
agent 1 and landmark 1   p_force[a][2.98826426 0.00439336],p_force[b][3.99651074e+00 1.10170583e-03] f_a[-4.72257140e-282  2.37302624e-282],f_bNone
agent 2 and agent 3   p_force[a][2.99990845e+00 8.47362389e-06],p_force[b][3.99651074e+00 1.10170583e-03] f_a[-4.30592702e-195  2.17088789e-195],f_b[ 4.30592702e-195 -2.17088789e-195]
agent 2 and landmark 0   p_force[a][2.99990845e+00 8.47362389e-06],p_force[b][3.99651074e+00 1.10170583e-03] f_a[-0.  0.],f_bNone
agent 2 and landmark 1   p_force[a][2.99990845e+00 8.47362389e-06],p_force[b][3.99651074e+00 1.10170583e-03] f_a[0. 0.],f_bNone
agent 3 and landmark 0   p_force[a][3.99651074e+00 1.10170583e-03],p_force[b][3.99651074e+00 1.10170583e-03] f_a[0. 0.],f_bNone
agent 3 and landmark 1   p_force[a][3.99651074e+00 1.10170583e-03],p_force[b][3.99651074e+00 1.10170583e-03] f_a[0. 0.],f_bNone
landmark 0 and landmark 1   p_force[a][3.99651074e+00 1.10170583e-03],p_force[b][3.99651074e+00 1.10170583e-03] f_aNone,f_bNone
agent 0 and agent 1   p_force[a][ 2.99601620e+00 -2.98919238e-03],p_force[b][2.99529147e+00 4.97446046e-04] f_a[ 7.79631743e-230 -5.12429667e-230],f_b[-7.79631743e-230  5.12429667e-230]
agent 0 and agent 2   p_force[a][ 2.99601620e+00 -2.98919238e-03],p_force[b][ 2.99976343e+00 -8.92572934e-05] f_a[-0. -0.],f_b[0. 0.]
agent 0 and agent 3   p_force[a][ 2.99601620e+00 -2.98919238e-03],p_force[b][3.98190022 0.01265331] f_a[-0. -0.],f_b[0. 0.]
agent 0 and landmark 0   p_force[a][ 2.99601620e+00 -2.98919238e-03],p_force[b][3.98190022 0.01265331] f_a[-0.  0.],f_bNone
agent 0 and landmark 1   p_force[a][ 2.99601620e+00 -2.98919238e-03],p_force[b][3.98190022 0.01265331] f_a[-3.66981647  1.71328507],f_bNone
agent 1 and agent 2   p_force[a][2.99529147e+00 4.97446046e-04],p_force[b][ 2.99976343e+00 -8.92572934e-05] f_a[-0. -0.],f_b[0. 0.]
agent 1 and agent 3   p_force[a][2.99529147e+00 4.97446046e-04],p_force[b][3.98190022 0.01265331] f_a[-0. -0.],f_b[0. 0.]
agent 1 and landmark 0   p_force[a][2.99529147e+00 4.97446046e-04],p_force[b][3.98190022 0.01265331] f_a[-0.  0.],f_bNone
agent 1 and landmark 1   p_force[a][2.99529147e+00 4.97446046e-04],p_force[b][3.98190022 0.01265331] f_a[-4.11552909e-276  2.49035338e-276],f_bNone
agent 2 and agent 3   p_force[a][ 2.99976343e+00 -8.92572934e-05],p_force[b][3.98190022 0.01265331] f_a[-1.82888519e-180  9.96509535e-181],f_b[ 1.82888519e-180 -9.96509535e-181]
agent 2 and landmark 0   p_force[a][ 2.99976343e+00 -8.92572934e-05],p_force[b][3.98190022 0.01265331] f_a[-0.  0.],f_bNone
agent 2 and landmark 1   p_force[a][ 2.99976343e+00 -8.92572934e-05],p_force[b][3.98190022 0.01265331] f_a[0. 0.],f_bNone
agent 3 and landmark 0   p_force[a][3.98190022 0.01265331],p_force[b][3.98190022 0.01265331] f_a[0. 0.],f_bNone
agent 3 and landmark 1   p_force[a][3.98190022 0.01265331],p_force[b][3.98190022 0.01265331] f_a[0. 0.],f_bNone
landmark 0 and landmark 1   p_force[a][3.98190022 0.01265331],p_force[b][3.98190022 0.01265331] f_aNone,f_bNone
agent 0 and agent 1   p_force[a][ 2.99774551e+00 -1.46164221e-03],p_force[b][2.99985194e+00 3.16694741e-05] f_a[ 8.16248247e-229 -5.88337361e-229],f_b[-8.16248247e-229  5.88337361e-229]
agent 0 and agent 2   p_force[a][ 2.99774551e+00 -1.46164221e-03],p_force[b][2.99702024e+00 4.05037572e-04] f_a[-0. -0.],f_b[0. 0.]
agent 0 and agent 3   p_force[a][ 2.99774551e+00 -1.46164221e-03],p_force[b][ 3.99070859e+00 -1.39849749e-03] f_a[-0. -0.],f_b[0. 0.]
agent 0 and landmark 0   p_force[a][ 2.99774551e+00 -1.46164221e-03],p_force[b][ 3.99070859e+00 -1.39849749e-03] f_a[-2.27226e-319  5.01971e-320],f_bNone
agent 0 and landmark 1   p_force[a][ 2.99774551e+00 -1.46164221e-03],p_force[b][ 3.99070859e+00 -1.39849749e-03] f_a[-5.76877577  4.13086917],f_bNone
agent 1 and agent 2   p_force[a][2.99985194e+00 3.16694741e-05],p_force[b][2.99702024e+00 4.05037572e-04] f_a[-0. -0.],f_b[0. 0.]
agent 1 and agent 3   p_force[a][2.99985194e+00 3.16694741e-05],p_force[b][ 3.99070859e+00 -1.39849749e-03] f_a[-0. -0.],f_b[0. 0.]
agent 1 and landmark 0   p_force[a][2.99985194e+00 3.16694741e-05],p_force[b][ 3.99070859e+00 -1.39849749e-03] f_a[-0.  0.],f_bNone
agent 1 and landmark 1   p_force[a][2.99985194e+00 3.16694741e-05],p_force[b][ 3.99070859e+00 -1.39849749e-03] f_a[-1.1473363e-262  8.2571874e-263],f_bNone
agent 2 and agent 3   p_force[a][2.99702024e+00 4.05037572e-04],p_force[b][ 3.99070859e+00 -1.39849749e-03] f_a[-5.35357212e-122  4.44796527e-122],f_b[ 5.35357212e-122 -4.44796527e-122]
