agent 1 and landmark 0   p_force[a][ 0.02055045 -2.97724843],p_force[b][3.99944186e+00 1.76691765e-06] f_a[-1.05404308e-71  3.29209098e-72],f_bNone
agent 1 and landmark 1   p_force[a][ 0.02055045 -2.97724843],p_force[b][3.99944186e+00 1.76691765e-06] f_a[0. 0.],f_bNone
agent 2 and agent 3   p_force[a][ 0.64481445 -2.11945832],p_force[b][3.99944186e+00 1.76691765e-06] f_a[-0.  0.],f_b[ 0. -0.]
agent 2 and landmark 0   p_force[a][ 0.64481445 -2.11945832],p_force[b][3.99944186e+00 1.76691765e-06] f_a[-4.92160318e-211  3.32940481e-211],f_bNone
agent 2 and landmark 1   p_force[a][ 0.64481445 -2.11945832],p_force[b][3.99944186e+00 1.76691765e-06] f_a[-0.  0.],f_bNone
agent 3 and landmark 0   p_force[a][3.99944186e+00 1.76691765e-06],p_force[b][3.99944186e+00 1.76691765e-06] f_a[ 0. -0.],f_bNone
agent 3 and landmark 1   p_force[a][3.99944186e+00 1.76691765e-06],p_force[b][3.99944186e+00 1.76691765e-06] f_a[0. 0.],f_bNone
landmark 0 and landmark 1   p_force[a][3.99944186e+00 1.76691765e-06],p_force[b][3.99944186e+00 1.76691765e-06] f_aNone,f_bNone
agent 0 and agent 1   p_force[a][ 2.91047537 -0.08638993],p_force[b][ 0.23541516 -2.75968194] f_a[ 8.77268705e-187 -3.65990919e-185],f_b[-8.77268705e-187  3.65990919e-185]
agent 0 and agent 2   p_force[a][ 2.91047537 -0.08638993],p_force[b][ 1.36049786 -1.60197616] f_a[ 0. -0.],f_b[-0.  0.]
agent 0 and agent 3   p_force[a][ 2.91047537 -0.08638993],p_force[b][3.99986744e+00 6.63686205e-06] f_a[-0.  0.],f_b[ 0. -0.]
agent 0 and landmark 0   p_force[a][ 2.91047537 -0.08638993],p_force[b][3.99986744e+00 6.63686205e-06] f_a[-5.87499706e-169 -7.63533557e-169],f_bNone
agent 0 and landmark 1   p_force[a][ 2.91047537 -0.08638993],p_force[b][3.99986744e+00 6.63686205e-06] f_a[1.16793761e-126 5.23816432e-126],f_bNone
agent 1 and agent 2   p_force[a][ 0.23541516 -2.75968194],p_force[b][ 1.36049786 -1.60197616] f_a[ 1.25087759e-102 -2.60141790e-102],f_b[-1.25087759e-102  2.60141790e-102]
agent 1 and agent 3   p_force[a][ 0.23541516 -2.75968194],p_force[b][3.99986744e+00 6.63686205e-06] f_a[-0.  0.],f_b[ 0. -0.]
agent 1 and landmark 0   p_force[a][ 0.23541516 -2.75968194],p_force[b][3.99986744e+00 6.63686205e-06] f_a[-3.83611462e-64  4.46232809e-65],f_bNone
agent 1 and landmark 1   p_force[a][ 0.23541516 -2.75968194],p_force[b][3.99986744e+00 6.63686205e-06] f_a[0. 0.],f_bNone
agent 2 and agent 3   p_force[a][ 1.36049786 -1.60197616],p_force[b][3.99986744e+00 6.63686205e-06] f_a[-0.  0.],f_b[ 0. -0.]
