agent 1    vel:[ 0.71497208 -0.43123865]  force:[array([2.99530792e+00, 6.84196420e-05]), array([ 2.99585813, -0.00403928]), array([-5.92907337,  1.18032606]), array([ 3.86646509, -0.05955464]), None, None]
agent 2    vel:[ 0.68354678 -0.41982184]  force:[array([2.99530792e+00, 6.84196420e-05]), array([ 2.99585813, -0.00403928]), array([-5.92907337,  1.18032606]), array([ 3.86646509, -0.05955464]), None, None]
agent 3    vel:[ 0.04258621 -0.00082119]  force:[array([2.99530792e+00, 6.84196420e-05]), array([ 2.99585813, -0.00403928]), array([-5.92907337,  1.18032606]), array([ 3.86646509, -0.05955464]), None, None]
agent 2andlandmark 0 force:[-7.44969678  1.5850112 ]
agent 0    vel:[ 0.99356881 -0.11322994]  force:[array([ 2.99785495e+00, -1.39472564e-03]), array([ 2.9962635 , -0.00359956]), array([-4.66206891,  1.37944373]), array([ 3.98594856, -0.01275679]), None, None]
agent 1    vel:[ 0.83581487 -0.32383292]  force:[array([ 2.99785495e+00, -1.39472564e-03]), array([ 2.9962635 , -0.00359956]), array([-4.66206891,  1.37944373]), array([ 3.98594856, -0.01275679]), None, None]
agent 2    vel:[-0.08024725 -0.19683377]  force:[array([ 2.99785495e+00, -1.39472564e-03]), array([ 2.9962635 , -0.00359956]), array([-4.66206891,  1.37944373]), array([ 3.98594856, -0.01275679]), None, None]
agent 3    vel:[-0.41858617 -0.00657135]  force:[array([ 2.99785495e+00, -1.39472564e-03]), array([ 2.9962635 , -0.00359956]), array([-4.66206891,  1.37944373]), array([ 3.98594856, -0.01275679]), None, None]
agent 2andlandmark 0 force:[-2.42737442  0.39693417]
agent 0    vel:[ 0.99670324 -0.08113357]  force:[array([2.99997711e+00, 3.18428897e-06]), array([ 2.94885904, -0.05089063]), array([0.15277887, 0.23511485]), array([ 3.99766707e+00, -2.18168716e-03]), None, None]
agent 1    vel:[ 0.9264875  -0.24323464]  force:[array([2.99997711e+00, 3.18428897e-06]), array([ 2.94885904, -0.05089063]), array([0.15277887, 0.23511485]), array([ 3.99766707e+00, -2.18168716e-03]), None, None]
agent 2    vel:[-0.52639233 -0.00968095]  force:[array([2.99997711e+00, 3.18428897e-06]), array([ 2.94885904, -0.05089063]), array([0.15277887, 0.23511485]), array([ 3.99766707e+00, -2.18168716e-03]), None, None]
agent 3    vel:[-0.08465523 -0.00620419]  force:[array([2.99997711e+00, 3.18428897e-06]), array([ 2.94885904, -0.05089063]), array([0.15277887, 0.23511485]), array([ 3.99766707e+00, -2.18168716e-03]), None, None]
agent 0    vel:[ 0.99831708 -0.0579914 ]  force:[array([ 2.99813479e+00, -4.02500245e-05]), array([ 2.99973428e+00, -2.63185102e-04]), array([ 2.45799564, -0.35877136]), array([ 3.94385934, -0.05537781]), None, None]
agent 1    vel:[ 0.98252221 -0.1861454 ]  force:[array([ 2.99813479e+00, -4.02500245e-05]), array([ 2.99973428e+00, -2.63185102e-04]), array([ 2.45799564, -0.35877136]), array([ 3.94385934, -0.05537781]), None, None]
agent 2    vel:[-0.37951636  0.01625077]  force:[array([ 2.99813479e+00, -4.02500245e-05]), array([ 2.99973428e+00, -2.63185102e-04]), array([ 2.45799564, -0.35877136]), array([ 3.94385934, -0.05537781]), None, None]
agent 3    vel:[-0.33627528 -0.00487131]  force:[array([ 2.99813479e+00, -4.02500245e-05]), array([ 2.99973428e+00, -2.63185102e-04]), array([ 2.45799564, -0.35877136]), array([ 3.94385934, -0.05537781]), None, None]
agent 0    vel:[ 0.99914067 -0.04144785]  force:[array([2.99997979e+00, 3.86253350e-06]), array([ 2.99838245e+00, -1.56963081e-03]), array([ 2.88942307, -0.07843401]), array([ 3.81157732, -0.18374845]), None, None]
agent 1    vel:[ 0.99105341 -0.13346588]  force:[array([2.99997979e+00, 3.86253350e-06]), array([ 2.99838245e+00, -1.56963081e-03]), array([ 2.88942307, -0.07843401]), array([ 3.81157732, -0.18374845]), None, None]
